      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   01:02:07   3269      0   01:02:27   2631      0
 24   00:23:38   1366      0   00:58:48   1683      0
 23   00:56:16   2359      0   03:55:04   2643      0
 22   00:10:02   1094      0   00:33:51    571      0
 21   01:04:56   2460      0   01:22:19   2480      0
 20   00:45:10   1012      0   18:06:38   5645      0
 19   01:14:52   2250      0   01:16:15    960      0
 18   00:39:23   2089      0   01:13:21   2354      0
 17   01:15:37   3244      0   01:53:38   3768      0
 16   00:17:08   1529      0   03:53:00   6644      0
 15   00:20:58   2211      0   00:21:50   1039      0
 14   00:27:56   2567      0   01:19:16   3314      0
 13   00:09:45   1654      0   04:41:21   6106      0
 12   00:11:20   1064      0   00:44:13   2794      0
 11   00:36:28   3045      0   00:53:56   2492      0
 10   00:21:06   5908      0   02:26:48   6837      0
  9   00:06:13    780      0   00:12:44    843      0
  8   00:07:44   1382      0   00:21:28   1828      0
  7   00:44:36   4017      0   01:02:46   3462      0
  6   00:06:52   2100      0   00:14:00   2227      0
  5   00:33:09   5892      0   00:36:56   4800      0
  4   00:07:59    860      0   00:35:55   1884      0
  3   00:15:32   3845      0   00:18:33   2787      0
  2   19:26:01  66723      0   19:31:12  64284      0
  1       >24h  91950      0       >24h  86237      0
